STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Average wind speed,Peak Gust Time,Preciption,Snowfall,Snow depth,Average Temperature,Maximum Temperature,Minimum Temperature,Direction of fastest 2-minute wind,Direction of fastest 5-minute wind,Fastest 2-minute wind,Fastest 5-minute wind,"Fog, ice fog, or freezing fog",Heavy fog or heaving freezing fog,Thunder,"Ice pellets, sleet, snow pellets, or small hail",Hail (may include small hail),Glaze or rime,Smoke or haze,Blowing or drifting snow
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/24/2014,17.22,0.0,0.0,0.0,5.9,16,20,11,220,300.0,25.1,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/25/2014,20.8,0.0,0.04,0.8,5.1,24,30,20,210,210.0,36.9,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/26/2014,16.78,0.0,0.0,0.0,5.1,22,36,18,290,310.0,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/27/2014,14.32,0.0,0.0,0.0,3.9,35,45,22,310,260.0,28.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/28/2014,9.84,0.0,0.0,0.0,1.2,20,22,14,320,310.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/29/2014,13.42,0.0,0.05,1.0,2.0,19,24,16,270,270.0,23.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/30/2014,7.83,0.0,0.0,0.0,1.2,21,28,14,200,190.0,15.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/31/2014,9.4,0.0,0.0,0.0,0.0,31,43,25,280,280.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/1/2014,4.03,0.0,0.0,0.0,0.0,36,43,30,130,130.0,10.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/2/2014,7.16,0.0,0.0,0.0,0.0,39,52,30,340,70.0,16.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/3/2014,12.08,0.0,1.08,6.7,0.0,38,44,28,360,10.0,18.1,25.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/4/2014,5.82,0.0,0.0,0.0,5.9,29,35,22,360,360.0,14.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/5/2014,10.96,0.0,1.2,2.2,7.1,32,35,30,330,330.0,21.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/6/2014,11.41,0.0,0.0,0.0,5.9,29,32,24,340,340.0,21.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/7/2014,13.42,0.0,0.0,0.0,5.1,28,32,25,270,260.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/8/2014,8.5,0.0,0.0,0.0,5.1,27,29,21,280,270.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/9/2014,8.5,0.0,0.13,1.5,5.1,26,30,20,260,270.0,17.0,19.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/10/2014,15.21,0.0,0.0,0.0,5.9,26,29,21,320,320.0,23.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/11/2014,12.53,0.0,0.0,0.0,5.9,22,25,16,300,310.0,21.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/12/2014,8.05,0.0,0.0,0.0,5.1,19,27,12,30,30.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/13/2014,21.03,0.0,1.27,5.5,7.1,31,36,26,30,30.0,36.9,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/14/2014,19.24,0.0,0.13,1.4,9.8,36,41,32,270,260.0,36.9,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/15/2014,14.99,0.0,0.11,1.6,9.1,34,37,28,310,310.0,31.1,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/16/2014,16.78,0.0,0.0,0.0,9.8,27,30,22,310,320.0,32.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/17/2014,10.29,0.0,0.0,0.0,9.8,24,32,19,310,320.0,31.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/18/2014,9.17,0.0,0.15,1.6,9.8,32,40,26,270,270.0,23.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/19/2014,8.28,0.0,0.31,0.0,7.9,36,44,27,300,290.0,18.1,23.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/20/2014,7.83,0.0,0.02,0.0,5.1,39,44,33,290,310.0,19.9,25.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/21/2014,10.29,0.0,0.14,0.0,3.1,40,47,35,180,180.0,28.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/22/2014,11.41,0.0,0.0,0.0,1.2,42,53,34,240,240.0,23.0,25.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/23/2014,6.71,0.0,0.0,0.0,0.0,44,55,35,310,300.0,23.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/24/2014,18.12,0.0,0.02,0.0,0.0,40,45,28,310,310.0,31.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
